slide,file,area_index,area_code_guess,assigned_sample,score,margin,expected_sample,agrees,top3,bbox_level,level_scale
118,118.tiff,0,D1,IU_PDA_T4,0.4687,0.0137,,,IU_PDA_T4:0.469; IU_PDA_HM11:0.455; IU_PDA_T10:0.442,"(np.int64(118), np.int64(616), np.int64(727), np.int64(1203))",64.0
118,118.tiff,1,C1,IU_PDA_NP11,0.6484,0.0242,IU_PDA_NP11,True,IU_PDA_NP11:0.648; IU_PDA_T8:0.624; IU_PDA_T1:0.584,"(np.int64(90), np.int64(580), np.int64(1326), np.int64(1738))",64.0
118,118.tiff,2,B1,IU_PDA_HM11,0.423,0.0069,IU_PDA_HM11,True,IU_PDA_HM11:0.423; IU_PDA_HM8:0.416; IU_PDA_T3:0.405,"(np.int64(158), np.int64(635), np.int64(1856), np.int64(2304))",64.0
118,118.tiff,3,A1,IU_PDA_T6,0.4655,0.0151,IU_PDA_T11,False,IU_PDA_T6:0.465; IU_PDA_HM11:0.450; IU_PDA_T4:0.445,"(np.int64(93), np.int64(704), np.int64(2471), np.int64(2870))",64.0
328,328.tiff,0,D1,IU_PDA_T10,0.2102,0.0012,,,IU_PDA_T10:0.210; IU_PDA_HM11:0.209; IU_PDA_T1:0.203,"(np.int64(3), np.int64(1539), np.int64(402), np.int64(809))",64.0
328,328.tiff,1,C1,IU_PDA_HM10,0.3602,0.0204,IU_PDA_HM13,False,IU_PDA_HM10:0.360; IU_PDA_NP2:0.340; IU_PDA_LNM8:0.336,"(np.int64(3), np.int64(1535), np.int64(809), np.int64(1217))",64.0
328,328.tiff,2,B1,IU_PDA_T4,0.5109,0.0141,IU_PDA_NP10,False,IU_PDA_T4:0.511; IU_PDA_T10:0.497; IU_PDA_LNM10:0.459,"(np.int64(16), np.int64(1539), np.int64(1217), np.int64(1625))",64.0
328,328.tiff,3,A1,IU_PDA_LNM7,0.3683,0.0403,IU_PDA_LNM10,False,IU_PDA_LNM7:0.368; IU_PDA_NP2:0.328; IU_PDA_T12:0.312,"(np.int64(18), np.int64(1540), np.int64(1775), np.int64(2176))",64.0
377,377.tiff,0,D1,IU_PDA_HM2,0.4965,0.0105,IU_PDA_T2,False,IU_PDA_HM2:0.497; IU_PDA_T12:0.486; IU_PDA_HM11:0.463,"(np.int64(136), np.int64(970), np.int64(754), np.int64(1170))",64.0
377,377.tiff,1,C1,IU_PDA_T1,0.5905,0.0207,IU_PDA_NP2,False,IU_PDA_T1:0.590; IU_PDA_HM11:0.570; IU_PDA_T4:0.562,"(np.int64(233), np.int64(714), np.int64(1346), np.int64(1771))",64.0
377,377.tiff,2,B1,IU_PDA_HM2_2,0.3251,0.0226,IU_PDA_HM2_2,True,IU_PDA_HM2_2:0.325; IU_PDA_HM3:0.302; IU_PDA_LNM7:0.263,"(np.int64(204), np.int64(807), np.int64(1970), np.int64(2306))",64.0
377,377.tiff,3,A1,IU_PDA_T11,0.3156,0.0534,IU_PDA_HM2,False,IU_PDA_T11:0.316; IU_PDA_T6:0.262; IU_PDA_T1:0.256,"(np.int64(240), np.int64(1063), np.int64(2469), np.int64(2898))",64.0
119,119.tiff,0,D1,IU_PDA_T3,0.422,0.0096,,,IU_PDA_T3:0.422; IU_PDA_T8:0.412; IU_PDA_T6:0.393,"(np.int64(294), np.int64(724), np.int64(802), np.int64(1178))",64.0
119,119.tiff,1,C1,IU_PDA_T1,0.5946,0.0094,IU_PDA_LNM7,False,IU_PDA_T1:0.595; IU_PDA_T4:0.585; IU_PDA_T6:0.552,"(np.int64(196), np.int64(710), np.int64(1307), np.int64(1765))",64.0
119,119.tiff,2,B1,IU_PDA_HM12,0.6177,0.004,,,IU_PDA_HM12:0.618; IU_PDA_HM13:0.614; IU_PDA_LNM8:0.592,"(np.int64(198), np.int64(729), np.int64(2013), np.int64(2339))",64.0
119,119.tiff,3,A1,IU_PDA_HM11,0.5683,0.0181,IU_PDA_LNM6,False,IU_PDA_HM11:0.568; IU_PDA_T3:0.550; IU_PDA_T1:0.549,"(np.int64(249), np.int64(723), np.int64(2507), np.int64(2903))",64.0
117,117.tiff,0,D1,IU_PDA_T6,0.2248,0.0316,IU_PDA_T4,False,IU_PDA_T6:0.225; IU_PDA_T11:0.193; IU_PDA_T1:0.184,"(np.int64(423), np.int64(1426), np.int64(1901), np.int64(1994))",64.0
117,117.tiff,1,C1,IU_PDA_HM2,0.2814,0.0103,,,IU_PDA_HM2:0.281; IU_PDA_T1:0.271; IU_PDA_T12:0.229,"(np.int64(278), np.int64(729), np.int64(1994), np.int64(2087))",64.0
117,117.tiff,2,B1,IU_PDA_T1,0.3563,0.0104,,,IU_PDA_T1:0.356; IU_PDA_HM12:0.346; IU_PDA_HM13:0.346,"(np.int64(229), np.int64(734), np.int64(2087), np.int64(2181))",64.0
117,117.tiff,3,A1,IU_PDA_T4,0.4414,0.0173,IU_PDA_T1,False,IU_PDA_T4:0.441; IU_PDA_T10:0.424; IU_PDA_HM2:0.422,"(np.int64(264), np.int64(611), np.int64(2274), np.int64(2368))",64.0
120,120.tiff,0,D1,IU_PDA_T6,0.1474,0.0002,IU_PDA_HM4,False,IU_PDA_T6:0.147; IU_PDA_HM3:0.147; IU_PDA_HM4:0.126,"(np.int64(18), np.int64(543), np.int64(253), np.int64(391))",128.0
120,120.tiff,1,C1,IU_PDA_T4,0.4717,0.0016,,,IU_PDA_T4:0.472; IU_PDA_T12:0.470; IU_PDA_HM12:0.469,"(np.int64(17), np.int64(615), np.int64(391), np.int64(529))",128.0
120,120.tiff,2,B1,IU_PDA_HM8,0.4054,0.0416,IU_PDA_HM3,False,IU_PDA_HM8:0.405; IU_PDA_T6:0.364; IU_PDA_T1:0.343,"(np.int64(147), np.int64(371), np.int64(667), np.int64(806))",128.0
120,120.tiff,3,A1,IU_PDA_NP2,0.4278,0.0118,IU_PDA_T3,False,IU_PDA_NP2:0.428; IU_PDA_T12:0.416; IU_PDA_T6:0.407,"(np.int64(106), np.int64(309), np.int64(928), np.int64(1076))",128.0
326,326.tiff,0,D1,IU_PDA_T11,0.348,0.0542,IU_PDA_LNM8,False,IU_PDA_T11:0.348; IU_PDA_T6:0.294; IU_PDA_T1:0.262,"(np.int64(96), np.int64(709), np.int64(356), np.int64(605))",128.33
326,326.tiff,1,C1,IU_PDA_T6,0.2925,-0.0178,IU_PDA_LNM12,False,IU_PDA_T11:0.310; IU_PDA_T6:0.292; IU_PDA_NP11:0.241,"(np.int64(79), np.int64(713), np.int64(689), np.int64(873))",128.33
326,326.tiff,2,B1,IU_PDA_T4,0.6058,0.0013,IU_PDA_HM9,False,IU_PDA_T4:0.606; IU_PDA_T10:0.604; IU_PDA_HM11:0.565,"(np.int64(86), np.int64(358), np.int64(963), np.int64(1148))",128.33
326,326.tiff,3,A1,IU_PDA_T1,0.4998,0.0419,IU_PDA_T9,False,IU_PDA_T1:0.500; IU_PDA_T4:0.458; IU_PDA_T12:0.457,"(np.int64(32), np.int64(303), np.int64(1359), np.int64(1501))",128.33
