gene,corr_resid,corr_raw,sign_agreement,in_core,in_heldout,is_epithelial
A1BG,-0.004021608,-0.018456891,-2.0,False,False,False
A1CF,-0.0036880025,-0.016134502,-1.0,False,False,False
A2M,0.002295442,-0.053593192,2.0,False,False,False
A2ML1,-0.007963503,-0.008872439,-2.0,False,False,False
A3GALT2,-0.004918338,0.0017465907,0.0,False,False,False
A4GALT,-0.000534066,-0.007880022,-2.0,False,False,False
A4GNT,-0.011343659,-0.026255803,0.0,False,False,False
AAAS,-0.003232698,-0.014326625,-2.0,False,False,False
AACS,-0.0031297945,-0.01227298,0.0,False,False,False
AADAC,-0.025800208,-0.07110139,-1.0,False,False,False
AADACL2,-0.0072705876,-0.010912145,1.0,False,False,False
AADACL3,-0.0024972546,-0.0034569781,-2.0,False,False,False
AADACL4,-0.0062971185,-0.012715483,-3.0,False,False,False
AADAT,-0.009900615,0.00037888158,-2.0,False,False,False
AAGAB,0.0020041673,-0.014266688,0.0,False,False,False
AAK1,-0.012980958,-0.019115087,0.0,False,False,False
AAMDC,-0.0375496,-0.048481576,-4.0,False,False,False
AAMP,-0.01765139,-0.062466107,-2.0,False,False,False
AANAT,-0.02619053,-0.016725713,-3.0,False,False,False
AAR2,-0.020246476,-0.028173456,0.0,False,False,False
AARD,0.008858151,0.0070121074,2.0,False,False,False
AARS,-0.0042279633,-0.017890844,-2.0,False,False,False
AARS2,0.003995106,-0.009174082,0.0,False,False,False
AARSD1,-0.021469638,-0.03609029,-2.0,False,False,False
AASDH,-0.013211075,-0.011272402,-2.0,False,False,False
AASDHPPT,-0.00018042233,-0.024442436,0.0,False,False,False
AASS,-0.0065898923,-0.0016659172,0.0,False,False,False
AATF,-0.00820866,-0.06351829,-2.0,False,False,False
AATK,0.0022505554,-0.03863118,0.0,False,False,False
ABAT,0.012646698,0.0027665794,4.0,False,False,False
ABCA1,-0.020543449,-0.00910782,-2.0,False,False,False
ABCA10,-0.00991364,-0.009593686,0.0,False,False,False
ABCA12,-0.0069363434,-0.018655311,-2.0,False,False,False
ABCA13,-0.004361001,-0.007160751,0.0,False,False,False
ABCA2,0.009463943,-0.006925973,2.0,False,False,False
ABCA3,-0.005717705,-0.021188198,-2.0,False,False,False
ABCA4,-0.0064611873,-0.01006116,-1.0,False,False,False
ABCA5,-0.017447995,-0.03672221,-2.0,False,False,False
ABCA6,-0.0047754287,0.0024075808,0.0,False,False,False
ABCA7,-0.009288195,-0.058892023,0.0,False,False,False
ABCA8,-0.015200011,-0.0521123,-4.0,False,False,False
ABCA9,-0.013290587,-0.010701556,-2.0,False,False,False
ABCB1,-0.032102637,-0.084845975,-2.0,False,False,False
ABCB11,-0.017384348,-0.022614442,-2.0,False,False,False
ABCB4,-0.008163181,-0.011600506,1.0,False,False,False
ABCB5,0.00046789812,-0.013083158,0.0,False,False,False
ABCB6,0.0053193094,-0.0002800026,0.0,False,False,False
ABCB7,-0.02779561,-0.04209604,-4.0,False,False,False
ABCB8,-0.00506309,-0.018293455,-2.0,False,False,False
ABCB9,0.00525432,-0.013112659,0.0,False,False,False
ABCC1,-0.01261467,-0.02526499,-2.0,False,False,False
ABCC10,-0.0013044097,-0.027540315,0.0,False,False,False
ABCC11,0.005779358,0.006213433,0.0,False,False,False
ABCC12,0.0028433497,0.003458276,0.0,False,False,False
ABCC2,0.010146249,0.016067974,2.0,False,False,False
ABCC3,-0.035832625,-0.1433377,-2.0,False,False,False
ABCC4,-0.011243168,-0.006396253,-2.0,False,False,False
ABCC5,-0.011188704,-0.010319921,0.0,False,False,False
ABCC6,-0.0058588837,-0.021708407,-2.0,False,False,False
ABCC8,-0.017212369,-0.023708962,-3.0,False,False,False
ABCC9,-0.0039252294,-0.023075417,0.0,False,False,False
ABCD1,-0.005899092,-0.008082889,0.0,False,False,False
ABCD2,-0.022458669,-0.029466541,-4.0,False,False,False
ABCD3,-0.01761458,-0.053942658,-4.0,False,False,False
ABCD4,-0.0049136737,-0.02829878,0.0,False,False,False
ABCE1,-0.002776522,-0.019200578,2.0,False,False,False
ABCF1,0.0015522717,-0.021533372,0.0,False,False,False
ABCF2,-0.010389693,-0.027990725,-2.0,False,False,False
ABCF3,-0.021507787,-0.059219502,-2.0,False,False,False
ABCG1,-0.009388102,-0.020573895,0.0,False,False,False
ABCG2,-0.01314874,-0.0008797378,-2.0,False,False,False
ABCG4,-0.0073730852,-0.01024487,-3.0,False,False,False
ABCG5,-0.010082947,-0.0068389326,0.0,False,False,False
ABCG8,0.0,0.0,0.0,False,False,False
ABHD1,0.0056748833,0.0059390045,0.0,False,False,False
ABHD10,0.0010937725,-0.013217505,0.0,False,False,False
ABHD11,-0.006900971,-0.04554812,-2.0,False,False,False
ABHD12,0.0020275763,-0.023347653,2.0,False,False,False
ABHD12B,0.0045797955,0.0019501067,3.0,False,False,False
ABHD13,-0.017084777,-0.012895759,-3.0,False,False,False
ABHD14A,-0.013197591,-0.038117617,-2.0,False,False,False
ABHD14B,-0.031908154,-0.056530096,-4.0,False,False,False
ABHD15,0.0047770124,-0.014905629,0.0,False,False,False
ABHD16A,0.0077444483,-0.007478603,2.0,False,False,False
ABHD16B,0.002712848,-0.00065877987,1.0,False,False,False
ABHD17A,-0.0045929914,-0.013765914,-2.0,False,False,False
ABHD17B,-0.0203568,-0.03376518,-4.0,False,False,False
ABHD17C,-0.018611606,-0.054502543,-4.0,False,False,False
ABHD18,-0.020928565,-0.040658087,-4.0,False,False,False
ABHD2,-0.006297497,-0.05203181,0.0,False,False,False
ABHD3,-0.0073334994,-0.013413772,-2.0,False,False,False
ABHD4,-0.0025861422,0.0055679567,0.0,False,False,False
ABHD5,0.005556877,-0.0066682966,2.0,False,False,False
ABHD6,-0.0029974233,-0.020482477,0.0,False,False,False
ABHD8,-0.021669509,-0.014773088,-2.0,False,False,False
ABI1,-0.0024070162,-0.029130697,2.0,False,False,False
ABI2,0.012859754,0.00471839,2.0,False,False,False
ABI3,0.008107173,0.00069046253,0.0,False,False,False
ABI3BP,-0.012477448,-0.041002627,-2.0,False,False,False
ABL1,0.0077975467,0.024678573,-2.0,False,False,False
ABL2,0.008594254,0.013230227,0.0,False,False,False
ABLIM1,-0.02606218,-0.09778829,-4.0,False,False,False
ABLIM2,-0.011166205,-0.03433803,-4.0,False,False,False
ABLIM3,0.012355337,-0.036933437,2.0,False,False,False
ABO,-0.010369123,-0.031235911,-2.0,False,False,False
ABR,0.008888379,-0.007867474,0.0,False,False,False
ABRA,-0.010617031,-0.01747511,-2.0,False,False,False
ABRACL,-0.00982918,-0.033430308,0.0,False,False,False
ABRAXAS1,-0.03500881,-0.0440657,-4.0,False,False,False
ABRAXAS2,-0.0051609175,-0.007500696,-2.0,False,False,False
ABT1,-0.0076985005,-0.02068082,0.0,False,False,False
ABTB1,-0.013652034,-0.04523308,-2.0,False,False,False
ABTB2,-0.044293735,-0.11951229,-2.0,False,False,False
AC004593.3,0.0023224412,0.007394809,1.0,False,False,False
AC005551.1,-0.0030352585,-0.007853809,-2.0,False,False,False
AC007906.2,0.008048514,-0.029687285,2.0,False,False,False
AC008397.1,0.0017742012,-0.024710618,-1.0,False,False,False
AC008687.4,-0.0015443582,0.00048735528,0.0,False,False,False
AC010255.3,-0.0071675777,-0.0035660625,-2.0,False,False,False
AC010325.1,0.025888264,0.013679045,4.0,False,False,False
AC011005.1,-0.0146644935,-0.009030174,-3.0,False,False,False
AC011195.2,0.004835493,0.0021151607,1.0,False,False,False
AC013470.2,-0.017907036,-0.01366103,-4.0,False,False,False
AC015802.6,-0.010095894,-0.020729067,-2.0,False,False,False
AC021072.1,0.008039244,0.009098791,2.0,False,False,False
AC021097.2,-0.010752877,-0.02769136,0.0,False,False,False
AC025283.2,-0.01857157,-0.019388806,-2.0,False,False,False
AC025287.4,0.0020405194,-0.0017918437,-1.0,False,False,False
AC048338.2,-0.0041229283,-0.006365878,-2.0,False,False,False
AC055839.2,0.007464166,0.005801361,2.0,False,False,False
AC067752.1,-0.004665595,0.0015241336,1.0,False,False,False
AC072022.2,-0.01396104,-0.01318653,0.0,False,False,False
AC073111.4,-0.008571009,-0.01395624,0.0,False,False,False
AC084121.9,0.0028452333,-0.0009467562,2.0,False,False,False
AC087498.1,0.0,0.0,0.0,False,False,False
AC090360.1,0.0030153086,0.0031912848,2.0,False,False,False
AC091057.6,0.0013871328,0.0012406127,-1.0,False,False,False
AC092835.1,0.008428346,0.01044102,0.0,False,False,False
AC093323.1,0.0012363736,0.00252827,0.0,False,False,False
AC093512.2,-0.011902579,-0.016088886,0.0,False,False,False
AC099489.1,-0.012887586,-0.011677321,-2.0,False,False,False
