patch_stem,sample,row,col,tumor_frac,hepatocyte_frac,hm11_resemblance,hm11_resemblance_noliver,leaving_score,leaving_score_resid
IU_PDA_T11_patch-000003_43_9,IU_PDA_T11,43,9,0.8967868089675903,1.950154000951443e-05,-7.216482253591577,-6.686192590190239,-1.9563185990241896,-0.7914796947227509
IU_PDA_T11_patch-000004_47_13,IU_PDA_T11,47,13,0.5303907990455627,2.927330569946207e-05,-11.624291423449938,-11.199898304610013,-1.0594843246679269,-0.71316749594453
IU_PDA_T11_patch-000006_62_0,IU_PDA_T11,62,0,0.5687839388847351,2.813441642501857e-05,-10.965511606914863,-10.51176715372547,-0.5194564193482784,-0.0135139516041916
IU_PDA_T11_patch-000017_45_19,IU_PDA_T11,45,19,0.5571383833885193,0.001425751717761159,-12.88835495240522,-12.661256138715185,0.2156942226310353,0.7779389782651059
IU_PDA_T11_patch-000019_66_22,IU_PDA_T11,66,22,0.5102355480194092,4.0408671338809654e-05,-12.166129855861168,-11.800777004197302,-0.1541553180879473,0.24685119332035
IU_PDA_T11_patch-000020_62_54,IU_PDA_T11,62,54,0.7726604342460632,1.8387569070910104e-05,-6.289178374931786,-5.8707789244993585,-1.2140599906135794,-0.2754435178815535
IU_PDA_T11_patch-000024_44_94,IU_PDA_T11,44,94,0.753617525100708,1.9308747141622007e-05,-9.8561337382008,-9.631725036107094,-1.173896317290959,-0.2785724983854906
IU_PDA_T11_patch-000025_42_96,IU_PDA_T11,42,96,0.6036075353622437,2.842524008883629e-05,-10.286990248413515,-10.121655627539129,-1.194720519639352,-0.6797157849076109
IU_PDA_T11_patch-000029_57_5,IU_PDA_T11,57,5,0.5935002565383911,2.874481288017705e-05,-11.250603385884931,-10.835638590027099,-0.590037370462675,-0.0300536053698065
IU_PDA_T11_patch-000034_49_17,IU_PDA_T11,49,17,0.5282579660415649,4.2364390537841246e-05,-16.700556227170235,-16.49886906927885,0.4151629014090164,0.9278908233156588
IU_PDA_T11_patch-000040_45_21,IU_PDA_T11,45,21,0.5219581723213196,0.0027439866680651903,-14.220344906973985,-14.129122567055408,-0.9000762012135947,-0.5564324742848564
IU_PDA_T11_patch-000044_67_23,IU_PDA_T11,67,23,0.5535165071487427,2.7512642191140912e-05,-10.260561767145886,-9.827230920353172,0.3202395696351111,0.8855390331989714
IU_PDA_T11_patch-000045_64_52,IU_PDA_T11,64,52,0.8125663995742798,2.8399525035638362e-05,-7.86715748056385,-7.459942210559341,-1.8307470452793968,-0.8634414745462999
IU_PDA_T11_patch-000049_56_14,IU_PDA_T11,56,14,0.5253283977508545,2.81912198261125e-05,-12.316405708297797,-11.934488358943462,0.8080726828363286,1.35919134277308
IU_PDA_T11_patch-000054_46_92,IU_PDA_T11,46,92,0.5837426781654358,2.657435106812045e-05,-10.316109744104846,-10.0622415917046,-0.9356685697225968,-0.4405284380919889
