signature,rho_shared,rho_sitespec
ECM,0.10253317086290467,-0.05446994553631668
Matrix-remodeling,0.07474261561985919,-0.06010513899035399
Cancer-associated-fibroblasts,0.07245583676072914,-0.0595740787006077
MHCI,0.05654498192215728,-0.06034539939489077
Protumor-cytokines,0.03280895834318383,-0.05791421169462343
Tumor-proliferation-rate,0.00047968013942833033,-0.03993521167417129
Tumor-associated-Macrophages,-0.0034656715007737836,-0.02779840455978168
M1-signature,-0.008176161368325514,0.0573859012859278
Granulocyte-traffic,-0.013242398382865313,-0.023713677055994396
Angiogenesis,-0.03216649212156743,0.032862286044618175
Effector-cell-traffic,-0.07058531817355165,0.1135831675047066
Endothelium,-0.07864035264492221,0.09448467893072686
Macrophage-and-DC-traffic,-0.08059999013431317,0.10808936753772676
Treg-and-Th2-traffic,-0.08185172567331155,0.14849326232740606
Myeloid-cells-traffic,-0.08451830653110698,0.10042657495787008
Immune-Suppression-by-Myeloid-cells,-0.08968519628522742,0.10612283967200507
Neutrophil-signature,-0.10576139453916332,0.1558913086247737
Co-stimulatory-ligands,-0.10912407636201547,0.11774838546085573
Tcells,-0.11402849066426875,0.1506348628538953
NK-cells,-0.11560267671293575,0.17713006126822856
Co-stimulatory-receptors,-0.11565786657590756,0.15485560697268358
Bcells,-0.12019320703208089,0.18163279641698288
Treg,-0.12227944089651058,0.1880271640261995
Effector-cells,-0.12351500746151596,0.18856555813901513
Th2-signature,-0.12431733990613263,0.18973323020859537
Checkpoint-molecules,-0.1251412918079326,0.15892803363101976
Th1-signature,-0.13095134377123405,0.1813003627017
