feature,mean_HM,mean_LNM,delta,cohens_d,p_unpaired,p_paired,n_paired_LNM_higher,n_paired,q_unpaired
rctd::B cells,0.004363723178861544,0.05934765481486866,0.054983931636007115,2.028529951361945,0.001998001998001998,0.125,4,4,0.04195804195804196
Bcells,-467.76457674677283,819.609227163224,1287.3738039099967,1.2001763015779354,0.08291708291708291,0.625,2,4,0.4975024975024975
Protumor-cytokines,1236.6321418770742,1839.2223935006139,602.5902516235396,1.1466364485867544,0.05994005994005994,0.125,4,4,0.4975024975024975
rctd::PVL,0.009420530721478753,0.015009543373869033,0.00558901265239028,1.138795309911383,0.08291708291708291,0.25,3,4,0.4975024975024975
rctd::DCs,0.006074976820288574,0.0269815989378851,0.020906622117596523,1.0056449900462698,0.18981018981018982,0.625,2,4,0.5594405594405595
Cancer-associated-fibroblasts,3513.7457014373745,4027.915139833108,514.1694383957333,0.8167439392772289,0.18981018981018982,0.25,3,4,0.5594405594405595
M1-signature,-675.5867092380837,-449.3961894913274,226.1905197467563,0.780330740288156,0.23976023976023977,0.375,3,4,0.5594405594405595
rctd::Endothelial cells,0.004506598782688019,0.006170923635597975,0.0016643248529099562,0.6873015219197262,0.23976023976023977,0.875,1,4,0.5594405594405595
Tcells,1367.8302399692354,2045.6100814021843,677.7798414329488,0.6849359513339626,0.43756243756243757,0.875,2,4,0.6563436563436563
MHCI,5017.844968344712,5642.859758114443,625.0147897697316,0.6849186162846062,0.23976023976023977,0.375,3,4,0.5594405594405595
Matrix-remodeling,-220.89190067014744,275.8386048371596,496.73050550730704,0.6258759398381704,0.5184815184815185,0.625,2,4,0.680506993006993
rctd::CD8-NK cells,0.0013387174221273996,0.0024729627570495146,0.001134245334922115,0.6001424961849139,0.43756243756243757,0.625,3,4,0.6563436563436563
Myeloid-cells-traffic,1451.4457557318112,1662.3487872745777,210.90303154276648,0.5447549089137049,0.23976023976023977,1.0,2,4,0.5594405594405595
rctd::CD4+ cells,0.020238444605058695,0.03681062173527623,0.016572177130217535,0.4791311876850395,0.8981018981018981,0.875,1,4,0.8981018981018981
ECM,5049.259083216478,5329.992478338051,280.73339512157327,0.4680871736350945,0.7972027972027972,0.875,1,4,0.881118881118881
rctd::iCAF,0.004564679448656542,0.006539732416642058,0.001975052967985516,0.3457775308006463,0.8981018981018981,0.875,2,4,0.8981018981018981
Tumor-proliferation-rate,934.8814877195829,1110.0788033600397,175.19731564045685,0.3196854063074496,0.6063936063936064,0.625,3,4,0.77177368086459
rctd::Tumor Epithelial cells,0.6558254352028072,0.6735782850555901,0.017752849852782915,0.292560807163561,0.6993006993006993,0.625,3,4,0.8158508158508159
Angiogenesis,2154.197747838661,2218.415269382827,64.21752154416572,0.23627076943933562,0.6993006993006993,0.875,3,4,0.8158508158508159
rctd::Proliferative T cells,0.034745349370361674,0.03783239819689216,0.003087048826530485,0.11256793722889868,0.5184815184815185,0.875,3,4,0.680506993006993
Tumor-associated-Macrophages,1398.2158011954584,1397.914618051776,-0.301183143682465,-0.000532457609716223,0.8981018981018981,0.625,3,4,0.8981018981018981
Granulocyte-traffic,-1198.1640257084748,-1199.6290586983478,-1.4650329898729524,-0.0024291157513743693,0.6993006993006993,1.0,2,4,0.8158508158508159
Effector-cell-traffic,976.0179035953174,916.9114587401069,-59.1064448552105,-0.07040075158397208,0.8981018981018981,1.0,2,4,0.8981018981018981
Co-stimulatory-receptors,3377.1295799186396,3214.1728045692253,-162.95677534941433,-0.2201908695480903,0.7972027972027972,0.875,2,4,0.881118881118881
rctd::SPP1-TAM,0.02110273165885152,0.017274001621695203,-0.0038287300371563186,-0.3281382685279831,0.43756243756243757,0.875,2,4,0.6563436563436563
Endothelium,2151.0133843841954,2047.1817315455464,-103.831652838649,-0.349875208582241,0.5184815184815185,1.0,2,4,0.680506993006993
rctd::myCAF,0.11099565884166851,0.09318502850798624,-0.01781063033368227,-0.3674787584730957,0.43756243756243757,1.0,2,4,0.6563436563436563
Immune-Suppression-by-Myeloid-cells,1941.858453040048,1752.0860568818248,-189.77239615822327,-0.4289383305085645,0.36363636363636365,0.375,1,4,0.6563436563436563
Treg-and-Th2-traffic,-74.24331834623848,-304.2299002974935,-229.986581951255,-0.4944603133293881,0.5184815184815185,0.875,2,4,0.680506993006993
Checkpoint-molecules,1832.0327316223095,1540.6525463881803,-291.38018523412916,-0.5172051651511048,0.43756243756243757,0.625,2,4,0.6563436563436563
Th1-signature,-1438.6503949163023,-1682.2586792133384,-243.6082842970361,-0.6548680988192411,0.2977022977022977,0.625,2,4,0.6563436563436563
NK-cells,-414.1498006423552,-711.2258851643774,-297.07608452202214,-0.6766222295777733,0.43756243756243757,0.625,2,4,0.6563436563436563
Co-stimulatory-ligands,529.5106633754676,183.31491743866073,-346.19574593680693,-0.6828790064667636,0.36363636363636365,0.625,2,4,0.6563436563436563
rctd::C1Q-TAM,0.03227288729555671,0.020555145638441786,-0.011717741657114925,-0.7272874687900974,0.36363636363636365,0.125,0,4,0.6563436563436563
Macrophage-and-DC-traffic,743.2766902655749,505.2699815203946,-238.00670874518028,-0.7569020073943622,0.23976023976023977,0.375,1,4,0.5594405594405595
rctd::Normal Epithelial cells,8.575503227376224e-05,2.5161426487961536e-05,-6.059360578580071e-05,-0.812026755214286,0.05994005994005994,0.125,0,4,0.4975024975024975
Effector-cells,2791.0520407565095,2190.352232422262,-600.6998083342473,-0.8343948742654025,0.23976023976023977,0.625,2,4,0.5594405594405595
Th2-signature,-1903.7419165811016,-2262.2933775755346,-358.551460994433,-0.9251543022559165,0.18981018981018982,0.625,2,4,0.5594405594405595
Treg,2826.613328099303,2206.4638975674584,-620.1494305318447,-0.9541624848043767,0.23976023976023977,0.625,2,4,0.5594405594405595
rctd::FCN1-TAM,0.009742621129332189,0.003932297868521032,-0.005810323260811157,-1.0970500173984674,0.11188811188811189,0.375,1,4,0.5594405594405595
rctd::Hepatocytes,0.08472189048998884,0.00028464401319684707,-0.08443724647679199,-1.3824829844619457,0.000999000999000999,0.125,0,4,0.04195804195804196
Neutrophil-signature,-4776.178985039569,-4957.563384241557,-181.38439920198834,-1.5055503292979764,0.02897102897102897,0.125,0,4,0.40559440559440557
