feature,mean_HM,mean_LNM,cohens_d_patient,p_unpaired_patient,n_paired_LNM_higher,n_paired,p_sign,q_unpaired_patient
rctd::B cells,0.004766055392885032,0.0593476548148686,2.0127573285342257,0.003108003108003108,4,4,0.125,0.06526806526806526
Bcells,-508.551842185993,819.609227163224,1.2315346946758055,0.09324009324009325,2,4,1.0,0.5594405594405595
rctd::PVL,0.009468426237615707,0.015009543373868978,1.1689416808183029,0.09324009324009325,3,4,0.625,0.5594405594405595
Protumor-cytokines,1253.0358478313522,1839.2223935006136,1.0803263057362509,0.09324009324009325,4,4,0.125,0.5594405594405595
rctd::DCs,0.006263982537722025,0.02698159893788506,0.9952758759998476,0.2222222222222222,2,4,1.0,0.744055944055944
M1-signature,-666.8039108193226,-449.3961894913273,0.7420520778694844,0.28438228438228436,3,4,0.625,0.744055944055944
Cancer-associated-fibroblasts,3542.7230046386694,4027.9151398331087,0.7392044267132599,0.28438228438228436,3,4,0.625,0.744055944055944
Tcells,1322.667629950172,2045.6100814021843,0.7249923671364082,0.3543123543123543,2,4,1.0,0.744055944055944
rctd::Endothelial cells,0.004639998577615101,0.00617092363559792,0.6253528053131676,0.28438228438228436,1,4,0.625,0.744055944055944
MHCI,5069.220618966927,5642.859758114442,0.6044367931810699,0.3543123543123543,3,4,0.625,0.744055944055944
rctd::CD8-NK cells,0.0013374747256131685,0.0024729627570494604,0.604055921349981,0.5236985236985237,3,4,0.625,0.7678595913890031
Myeloid-cells-traffic,1446.9267199851618,1662.3487872745777,0.5412812376708843,0.28438228438228436,2,4,1.0,0.744055944055944
Matrix-remodeling,-157.12153713878354,275.83860483715955,0.5347053550594273,0.6216006216006216,2,4,1.0,0.7678595913890031
rctd::CD4+ cells,0.019053473372820644,0.036810621735276175,0.5144432470717519,0.8329448329448329,1,4,0.625,0.8970175124021278
ECM,5081.536633063873,5329.99247833805,0.40086307557448414,0.9432789432789432,1,4,0.625,0.9432789432789432
rctd::iCAF,0.004369973201709081,0.0065397324166420094,0.3842978583129545,0.7241647241647241,2,4,1.0,0.8448588448588448
Tumor-proliferation-rate,942.9245462990598,1110.0788033600397,0.2917176611746316,0.6216006216006216,3,4,0.625,0.7678595913890031
rctd::Tumor Epithelial cells,0.6563790319867724,0.6735782850555901,0.2835754071104134,0.7241647241647241,3,4,0.625,0.8448588448588448
Angiogenesis,2161.790354237427,2218.415269382827,0.20199240080776015,0.8329448329448329,3,4,0.625,0.8970175124021278
rctd::Proliferative T cells,0.034959965353020955,0.037832398196892096,0.09923912925444767,0.5236985236985237,3,4,0.625,0.7678595913890031
Tumor-associated-Macrophages,1409.7682433210387,1397.914618051776,-0.02072293578806123,0.8329448329448329,3,4,0.625,0.8970175124021278
Granulocyte-traffic,-1170.4150326958363,-1199.6290586983475,-0.048102386123307306,0.6216006216006216,2,4,1.0,0.7678595913890031
Effector-cell-traffic,966.1512738342574,916.9114587401067,-0.056921062595800126,0.9432789432789432,2,4,1.0,0.9432789432789432
Co-stimulatory-receptors,3318.7375326750134,3214.1728045692253,-0.13847680470735918,0.9432789432789432,2,4,1.0,0.9432789432789432
rctd::SPP1-TAM,0.020424105953066363,0.017274001621695182,-0.27141147317465364,0.5236985236985237,2,4,1.0,0.7678595913890031
Endothelium,2145.280840579625,2047.1817315455464,-0.3158367147032658,0.6216006216006216,2,4,1.0,0.7678595913890031
Immune-Suppression-by-Myeloid-cells,1924.436494183184,1752.0860568818243,-0.37159621905731494,0.43512043512043513,1,4,0.625,0.7678595913890031
rctd::myCAF,0.11209440334988033,0.09318502850798618,-0.3861366530479913,0.43512043512043513,2,4,1.0,0.7678595913890031
Treg-and-Th2-traffic,-103.46126056478803,-304.22990029749343,-0.42062839879682407,0.6216006216006216,2,4,1.0,0.7678595913890031
Checkpoint-molecules,1797.7532063186518,1540.65254638818,-0.4410768095289669,0.6216006216006216,2,4,1.0,0.7678595913890031
Th1-signature,-1465.2444843570797,-1682.2586792133384,-0.566200599625115,0.43512043512043513,2,4,1.0,0.7678595913890031
NK-cells,-451.2416355562,-711.2258851643774,-0.5725193657642788,0.6216006216006216,2,4,1.0,0.7678595913890031
Co-stimulatory-ligands,495.9079403157833,183.31491743866073,-0.5956752872474153,0.5236985236985237,2,4,1.0,0.7678595913890031
Macrophage-and-DC-traffic,732.3415753710408,505.2699815203946,-0.6871422037123242,0.3543123543123543,1,4,0.625,0.744055944055944
Effector-cells,2728.2554972307203,2190.352232422262,-0.7234289074207181,0.3543123543123543,2,4,1.0,0.744055944055944
rctd::C1Q-TAM,0.03348746745808291,0.02055514563844174,-0.7784468249797613,0.28438228438228436,0,4,0.125,0.744055944055944
Th2-signature,-1937.390356515034,-2262.293377575534,-0.8144780746475588,0.28438228438228436,2,4,1.0,0.744055944055944
rctd::Normal Epithelial cells,9.166071985883537e-05,2.516142648796153e-05,-0.8463725209031457,0.06526806526806528,0,4,0.125,0.5594405594405595
Treg,2775.807819819549,2206.4638975674584,-0.8515766393998998,0.3543123543123543,2,4,1.0,0.744055944055944
rctd::FCN1-TAM,0.00883732666842995,0.00393229786852096,-0.9925634781792834,0.17094017094017094,1,4,0.625,0.744055944055944
Neutrophil-signature,-4779.839719312139,-4957.563384241557,-1.4250371234090122,0.04506604506604507,0,4,0.125,0.5594405594405595
rctd::Hepatocytes,0.08382665446490695,0.00028464401319682603,-1.4998697694030196,0.001554001554001554,0,4,0.125,0.06526806526806526
